"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2023年06月20日"

"","","","","/項目 コード","A1102","","A1407",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1102_日本人人口【人】","注釈","A1407_0～17歳人口【人】","注釈"
"2020100000","2020年度","06201","山形県 山形市","","244,115","","35,788",""
"2020100000","2020年度","06202","山形県 米沢市","","80,502","","11,110",""
"2020100000","2020年度","06203","山形県 鶴岡市","","120,978","","17,004",""
"2020100000","2020年度","06204","山形県 酒田市","","99,235","","12,909",""
"2020100000","2020年度","06205","山形県 新庄市","","33,900","","4,871",""
"2020100000","2020年度","06206","山形県 寒河江市","","39,697","","6,190",""
"2020100000","2020年度","06207","山形県 上山市","","28,782","","3,454",""
"2020100000","2020年度","06208","山形県 村山市","","22,331","","2,801",""
"2020100000","2020年度","06209","山形県 長井市","","26,167","","3,614",""
"2020100000","2020年度","06210","山形県 天童市","","61,600","","9,717",""
"2020100000","2020年度","06211","山形県 東根市","","47,307","","7,929",""
"2020100000","2020年度","06212","山形県 尾花沢市","","14,890","","1,848",""
"2020100000","2020年度","06213","山形県 南陽市","","30,131","","4,311",""
"2020100000","2020年度","06301","山形県 山辺町","","13,678","","2,036",""
"2020100000","2020年度","06302","山形県 中山町","","10,689","","1,423",""
"2020100000","2020年度","06321","山形県 河北町","","17,454","","2,384",""
"2020100000","2020年度","06322","山形県 西川町","","4,914","","547",""
"2020100000","2020年度","06323","山形県 朝日町","","6,314","","706",""
"2020100000","2020年度","06324","山形県 大江町","","7,559","","961",""
"2020100000","2020年度","06341","山形県 大石田町","","6,499","","796",""
"2020100000","2020年度","06361","山形県 金山町","","5,014","","692",""
"2020100000","2020年度","06362","山形県 最上町","","7,998","","1,064",""
"2020100000","2020年度","06363","山形県 舟形町","","4,974","","616",""
"2020100000","2020年度","06364","山形県 真室川町","","7,168","","869",""
"2020100000","2020年度","06365","山形県 大蔵村","","3,012","","426",""
"2020100000","2020年度","06366","山形県 鮭川村","","3,876","","479",""
"2020100000","2020年度","06367","山形県 戸沢村","","4,139","","459",""
"2020100000","2020年度","06381","山形県 高畠町","","22,264","","3,370",""
"2020100000","2020年度","06382","山形県 川西町","","14,477","","1,858",""
"2020100000","2020年度","06401","山形県 小国町","","7,047","","916",""
"2020100000","2020年度","06402","山形県 白鷹町","","12,769","","1,713",""
"2020100000","2020年度","06403","山形県 飯豊町","","6,563","","915",""
"2020100000","2020年度","06426","山形県 三川町","","7,566","","1,186",""
"2020100000","2020年度","06428","山形県 庄内町","","20,041","","2,684",""
"2020100000","2020年度","06461","山形県 遊佐町","","12,967","","1,515",""
"2020100000","2020年度","07201","福島県 福島市","","275,185","","38,639",""
"2020100000","2020年度","07202","福島県 会津若松市","","114,836","","17,078",""
"2020100000","2020年度","07203","福島県 郡山市","","320,053","","48,333",""
"2020100000","2020年度","07204","福島県 いわき市","","324,313","","47,157",""
